City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,55.85,54,75,20.71,CL,2025-03-09 12:41:40
1,porto velho,-8.7619,-63.9039,78.85,89,40,2.3,BR,2025-03-09 12:40:45
2,olonkinbyen,70.9221,-8.7187,20.37,66,100,6.85,SJ,2025-03-09 12:41:42
3,albany,42.6001,-73.9662,28.4,65,16,3.0,US,2025-03-09 12:41:43
4,kodiak,57.79,-152.4072,35.11,93,100,19.57,US,2025-03-09 12:41:44
5,talnakh,69.4865,88.3972,-23.4,82,17,2.04,RU,2025-03-09 12:41:45
6,vilyuchinsk,52.9306,158.4028,10.67,73,0,11.79,RU,2025-03-09 12:41:47
7,qusmuryn,52.4503,64.6311,14.2,92,80,9.19,KZ,2025-03-09 12:41:48
8,sitka,57.0531,-135.33,42.69,70,100,10.36,US,2025-03-09 12:41:49
9,uvira,-3.4067,29.1458,82.69,77,85,3.29,CD,2025-03-09 12:41:50
10,port-aux-francais,-49.35,70.2167,41.81,89,100,31.65,TF,2025-03-09 12:41:51
11,waitangi,-43.9535,-176.5597,56.61,66,0,4.45,NZ,2025-03-09 12:38:18
12,polyarnyy,69.1989,33.4478,27.68,79,67,3.4,RU,2025-03-09 12:41:53
13,tamale,9.4008,-0.8393,100.85,26,14,3.44,GH,2025-03-09 12:41:56
14,flen,59.0583,16.5878,54.07,53,22,7.58,SE,2025-03-09 12:41:57
15,grytviken,-54.2811,-36.5092,31.86,91,98,17.56,GS,2025-03-09 12:41:58
16,klyuchi,52.2667,79.1667,17.46,93,100,14.85,RU,2025-03-09 12:41:59
17,port saint john's,-31.6229,29.5448,94.68,41,0,6.15,ZA,2025-03-09 12:42:00
18,bethel,41.3712,-73.414,30.94,62,0,3.44,US,2025-03-09 12:42:01
19,petropavlovsk-kamchatsky,53.0452,158.6483,9.19,40,0,15.66,RU,2025-03-09 12:42:02
20,enewetak,11.3474,162.3373,79.97,80,61,24.2,MH,2025-03-09 12:42:03
21,dudinka,69.4058,86.1778,-30.8,97,30,3.49,RU,2025-03-09 12:38:44
22,chonchi,-42.6128,-73.8092,48.11,43,95,0.74,CL,2025-03-09 12:42:06
23,lompoc,34.6391,-120.4579,41.13,89,0,9.22,US,2025-03-09 12:42:07
24,adamstown,-25.066,-130.1015,76.89,67,100,21.47,PN,2025-03-09 12:42:08
25,rosa zarate,0.3333,-79.4667,73.65,97,100,2.33,EC,2025-03-09 12:42:09
26,urengoy,65.9667,78.3667,-10.97,91,5,8.52,RU,2025-03-09 12:42:10
27,gadzhiyevo,69.2551,33.3362,26.47,82,65,3.65,RU,2025-03-09 12:42:11
28,okha,53.5739,142.9478,-2.83,100,73,6.67,RU,2025-03-09 12:39:28
29,guayaramerin,-10.8368,-65.3614,75.25,94,75,3.44,BO,2025-03-09 12:42:13
30,iskateley,67.6803,53.1512,10.54,92,15,7.92,RU,2025-03-09 12:42:14
31,geraldton,-28.7667,114.6,72.01,64,0,21.85,AU,2025-03-09 12:39:56
32,margaret river,-33.95,115.0667,60.28,69,65,11.3,AU,2025-03-09 12:42:17
33,balqash,46.8481,74.995,27.19,86,0,24.61,KZ,2025-03-09 12:42:18
34,charlestown,-32.95,151.6667,73.72,87,100,3.0,AU,2025-03-09 12:42:19
35,hecun,36.5333,114.1111,53.28,52,6,10.4,CN,2025-03-09 12:42:20
36,isafjordur,66.0755,-23.124,39.24,60,100,10.36,IS,2025-03-09 12:42:21
37,kasimov,54.9411,41.3953,48.78,47,98,10.96,RU,2025-03-09 12:42:22
38,mussoorie,30.45,78.0833,51.46,32,0,2.3,IN,2025-03-09 12:42:23
39,touros,-5.1989,-35.4608,83.1,69,94,13.22,BR,2025-03-09 12:42:24
40,vernon,50.2581,-119.2691,38.73,75,100,3.44,CA,2025-03-09 12:38:11
41,viedma,-40.8135,-62.9967,61.95,36,0,9.55,AR,2025-03-09 12:42:28
42,utrik,11.2278,169.8474,80.1,75,6,25.14,MH,2025-03-09 12:42:29
43,qamdo,31.1667,97.2333,27.07,50,1,5.46,CN,2025-03-09 12:42:30
44,magdagachi,53.45,125.8,17.6,94,100,10.51,RU,2025-03-09 12:42:32
45,coronel dorrego,-38.7187,-61.2873,61.92,51,0,7.81,AR,2025-03-09 12:42:36
46,hermanus,-34.4187,19.2345,72.81,56,1,14.27,ZA,2025-03-09 12:42:37
47,tolanaro,-25.0319,46.9987,86.07,79,40,21.85,MG,2025-03-09 12:42:38
48,ristiina,61.5058,27.2464,41.11,75,100,4.9,FI,2025-03-09 12:42:39
49,chifeng,42.2683,118.9636,46.02,43,0,17.36,CN,2025-03-09 12:42:40
50,tuburan,6.6439,122.2736,76.96,83,98,4.7,PH,2025-03-09 12:42:41
51,fort mcmurray,56.7268,-111.381,-8.01,70,100,9.22,CA,2025-03-09 12:42:42
52,manicore,-5.8092,-61.3003,74.66,93,100,1.92,BR,2025-03-09 12:42:43
53,vorgashor,67.5833,63.95,-7.19,92,44,4.45,RU,2025-03-09 12:42:44
54,yuzhno-kurilsk,44.0306,145.8556,26.35,88,18,13.38,RU,2025-03-09 12:42:46
55,udachny,66.4167,112.4,-28.35,100,26,2.13,RU,2025-03-09 12:42:48
56,usogorsk,63.4106,48.6872,25.52,93,100,7.85,RU,2025-03-09 12:42:49
57,college,64.8569,-147.8028,21.15,63,100,11.5,US,2025-03-09 12:42:50
58,brisas de zicatela,15.8369,-97.0419,79.32,89,0,2.3,MX,2025-03-09 12:42:51
59,west salem,43.8991,-91.0813,34.75,84,0,8.05,US,2025-03-09 12:42:52
60,sarandi del yi,-33.35,-55.6333,66.74,50,0,16.78,UY,2025-03-09 12:42:53
61,wailua homesteads,22.0669,-159.378,70.59,93,75,21.85,US,2025-03-09 12:42:54
62,atafu village,-8.5421,-172.5159,81.41,75,100,6.71,TK,2025-03-09 12:42:55
63,juegang,32.3174,121.1855,45.73,90,100,9.33,CN,2025-03-09 12:42:57
64,floro,61.5996,5.0328,42.76,100,75,11.5,NO,2025-03-09 12:42:58
65,baranchinskiy,58.1617,59.6991,22.08,96,100,9.55,RU,2025-03-09 12:42:59
66,lerwick,60.1545,-1.1494,45.21,95,100,16.46,GB,2025-03-09 12:43:00
67,flying fish cove,-10.4217,105.6791,80.28,94,100,5.75,CX,2025-03-09 12:43:01
68,edinburgh of the seven seas,-37.0676,-12.3116,63.18,74,0,18.23,SH,2025-03-09 12:43:02
69,kapuskasing,49.4169,-82.4331,15.89,86,100,5.75,CA,2025-03-09 12:43:03
70,kununurra,-15.7667,128.7333,87.78,58,44,6.91,AU,2025-03-09 12:43:05
71,vadso,70.0744,29.7487,28.56,80,0,11.5,NO,2025-03-09 12:43:06
72,hithadhoo,-0.6,73.0833,83.01,70,39,14.32,MV,2025-03-09 12:43:08
73,port elizabeth,-33.918,25.5701,73.69,91,0,16.11,ZA,2025-03-09 12:39:21
74,al buraymi,24.2509,55.7931,92.62,16,0,6.91,OM,2025-03-09 12:43:11
75,lebu,-37.6167,-73.65,57.0,58,10,20.67,CL,2025-03-09 12:43:12
76,nova sintra,14.8667,-24.7167,70.29,74,0,16.24,CV,2025-03-09 12:43:13
77,tsiombe,-25.3,45.4833,86.45,68,10,15.37,MG,2025-03-09 12:43:14
78,longyearbyen,78.2186,15.6401,13.84,85,75,4.61,SJ,2025-03-09 12:38:34
79,hastings,50.8552,0.5729,56.17,77,61,7.76,GB,2025-03-09 12:38:15
80,opuwo,-18.0607,13.84,72.48,68,100,1.12,NA,2025-03-09 12:40:07
81,lundazi,-12.2929,33.1782,79.41,62,100,5.39,ZM,2025-03-09 12:43:19
82,kumylzhenskaya,49.8809,42.5898,49.39,43,10,8.08,RU,2025-03-09 12:43:21
83,suntar,62.1444,117.6319,-32.53,100,52,2.17,RU,2025-03-09 12:43:22
84,punta arenas,-53.15,-70.9167,44.71,81,0,6.91,CL,2025-03-09 12:41:25
85,whitehorse,60.7161,-135.0538,12.97,92,75,2.3,CA,2025-03-09 12:43:24
86,bath,51.3779,-2.3591,61.52,66,90,11.39,GB,2025-03-09 12:34:18
87,oppdal,62.5943,9.6912,33.46,96,100,6.33,NO,2025-03-09 12:43:26
88,san patricio,28.017,-97.5169,53.55,52,100,15.75,US,2025-03-09 12:43:28
